Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s",Mean Sales Price,Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($),SalesNo
2131,15774,15774,55882,43289,0.83,13040,57487,48491,0.15,2385,30,-522,15774,57660,44768,15774,1756,454,0.1,1579,113141,23012,0.09,1396,100160,9472,0.74,11751,16923,10560,18387,87640,22251,22190,15600,15469,835445765,12502,173663106.6,9689,14046729.08,228,297339.31,9682,14336891.07,11562,183964136.2,808,4877064,755,940,0.2129,0.069,62,842,2578,439,109,65,275,4308,496.2857143,-0.038028571,0.0376,701,8616,80383,62
2132,6469,6469,65647,48688,0.77,4974,68806,55700,0.25,1622,49,-648,6469,68072,50795,6469,2368,624,0.1,646,74448,31308,0.09,603,45309,13735,0.77,4954,21221,13028,7440,132436,44613,10380,6387,6328,407249574,5236,93961481.96,4459,7419701.97,102,127813.6,4457,7546559.79,4838,99185001.73,336,1970289,1290,1262,0.6278,-0.1111,20,127,358,174,91,5,91,848,563.7142857,-0.061785714,0.040642857,135,1694,34101,20
2133,6494,6494,60102,47672,0.79,5132,64024,54701,0.22,1457,596,-271,6494,62414,49890,6494,2246,680,0.11,708,82308,33528,0.1,670,57853,14242,0.77,5010,17979,12391,7582,115497,49030,10742,6416,6374,379692061,5346,81660978.1,4612,6875061.02,89,105986.02,4611,6980391.58,4963,86884747.62,342,2087196,1165,1151,0.5369,1.0909,20,72,409,153,46,5,344,1030,484.4285714,-0.011828571,-0.060285714,176,2059,58705,20
2134,10026,10026,50527,33928,0.77,7713,51393,40028,0.21,2108,-557,-793,10026,52242,35078,10026,1642,300,0.09,923,79832,24907,0.08,802,57406,10431,0.68,6782,17084,8455,11498,78202,10676,12468,9633,9507,479225580,7203,101471449.2,5236,7765002.46,124,163390.54,5234,7926800.66,6533,107469798.7,434,2812623,870,933,0.0278,1.2917,55,471,1258,327,117,74,276,2523,570.2857143,-0.055414286,0.2467,626,5046,68222,55
2135,18278,18278,67545,40899,0.79,14482,56653,43682,0.22,4056,706,47,18278,70133,42621,18278,2489,390,0.09,1647,267663,34711,0.08,1493,228751,16732,0.73,13322,24763,10815,20399,159279,14960,23097,17641,17446,1164509008,13955,291035125.5,10002,19521161.75,224,312611.64,9999,19830569.27,12897,308614750.6,578,3318745,1105,1621,0.5786,0.6286,57,410,1884,481,268,87,181,3311,531,-0.063,0.268571429,661,6622,140873,57
2136,4763,4763,59006,44810,0.79,3751,61651,52000,0.23,1115,-261,-313,4763,61274,46864,4763,2216,561,0.11,503,91072,36995,0.1,468,65367,16657,0.76,3597,18263,11693,5376,107147,38625,6719,4693,4655,267858831,3811,57279266.83,3215,4776420.19,81,110498.48,3215,4885792.02,3525,60770015.77,248,1479530,764,977,0.1311,1,20,90,417,158,62,5,94,823,504,-0.024957143,-0.112171429,121,1649,41978,20
2137,17646,17646,78757,53562,0.77,13553,76037,60368,0.26,4622,177,-652,17646,81900,56059,17646,2975,714,0.1,1719,128487,34100,0.09,1598,92405,15264,0.78,13697,27999,15212,19360,197378,63460,24018,17168,16993,1288869597,14265,329813890.7,12201,23651388.55,264,436449.79,12198,24079631.59,13304,349038837.5,496,2604680,1550,1478,0.2917,0.6727,92,550,1153,790,222,5,150,2870,598.4285714,-0.0157,-0.1122,536,5740,125157,92
2138,12094,12094,62502,46644,0.8,9732,67303,55640,0.23,2805,-4347,-3570,12094,64733,48716,12094,2158,518,0.09,1041,83317,26050,0.08,958,57439,11289,0.74,8991,20788,12990,13260,100764,25835,13519,11871,11699,739783815,9386,172445826.9,7775,12959521.59,211,272557.25,7773,13227090.84,8823,183365525.6,303,1777572,973,1146,0.1308,0.6279,70,850,1809,471,73,20,58,3286,545.1428571,-0.052485714,0.093271429,911,6567,122791,70
2140,12227,12227,51159,41547,0.86,10523,53771,47238,0.13,1580,-3946,-3416,12227,52772,43207,12227,1569,484,0.1,1203,80866,22825,0.09,1070,67095,9130,0.75,9121,14574,9566,13035,54276,13941,12512,10799,10673,541389378,8568,106405105.8,6220,8419595.7,146,161368.25,6221,8578864.65,8055,112680307.2,508,2896271,645,651,0.0086,0.9615,102,517,2380,520,86,5,153,3661,489.8571429,-0.038071429,-0.060128571,720,7322,97104,102
2141,18050,18050,45128,36206,0.79,14205,49601,43018,0.18,3199,-2153,-1731,18050,46642,37297,18050,1479,360,0.12,2168,63273,30653,0.11,1940,43907,12502,0.71,12816,12369,8118,20232,61614,15317,25479,17122,16928,766038514,13368,138973811.1,10001,12403714.39,170,224753.12,9998,12624473.86,12149,146752367.7,1242,7856430,855,865,0.131,0.8108,67,269,1735,1070,297,47,149,3567,521.2857143,0.028628571,0.233485714,704,7134,201471,67
2142,14651,14651,44800,37639,0.83,12158,48146,42873,0.11,1642,-2848,-2217,14651,46421,38982,14651,1597,500,0.13,1955,52177,27939,0.12,1787,35605,12480,0.72,10570,11596,8214,16616,45278,12666,22525,14041,13870,616667364,11047,107582942.8,8218,9668129.91,148,169972.64,8216,9834077.45,10194,113675074.7,1047,6465204,561,598,-0.0634,0.0196,52,504,2140,759,206,36,352,3997,447.1428571,-0.052085714,-0.084,641,7994,220900,52
2143,5127,5127,47617,39282,0.79,4040,52052,45992,0.17,864,-1757,-1171,5127,49337,40588,5127,1660,511,0.13,663,76992,30682,0.12,629,60131,12798,0.73,3730,13000,8647,5644,73908,24309,7460,4858,4813,222119392,3858,40037582.82,3111,3759474.55,47,49100.87,3111,3808575.42,3530,42496853.84,453,2730313,920,881,0.3143,1.5714,20,20,320,277,113,5,53,786,492.2857143,-0.021828571,0.008957143,166,1574,75572,20
2144,21592,21592,37686,30543,0.76,16356,41352,35947,0.11,2379,-387,-652,21592,38994,31575,21592,1292,300,0.19,4005,54922,31797,0.17,3630,37895,13723,0.67,14452,9233,5839,23367,36462,7640,33123,20085,19827,756893111,15049,117464946.3,10083,10646566.3,158,219242.62,10080,10862222.75,13527,122350102.7,1781,10596598,670,767,0.0789,0.7381,73,275,2270,1039,278,35,421,4318,486.7142857,0.019214286,-0.125028571,630,8636,356773,73
2145,47073,47073,57353,48591,0.84,39550,61834,55361,0.18,8407,-3658,-2868,47073,59426,50510,47073,2033,767,0.09,4289,74880,26714,0.09,4079,56402,13295,0.78,36562,16456,12077,52660,87584,33181,71312,45189,44700,2501575320,37258,511994213.4,31407,44070466.98,706,897018.45,31405,44952365.3,34928,545013775.6,2231,13335917,670,740,-0.0629,0.5478,243,669,4816,2728,1103,20,637,9965,466.7142857,-0.036814286,-0.165928571,1547,19938,582823,243
2146,10900,10900,54430,47485,0.85,9225,59240,53914,0.17,1837,-3652,-3140,10900,56447,49110,10900,2011,762,0.09,989,59083,21824,0.09,932,42470,10304,0.77,8377,15108,11548,12342,90285,38314,15684,10255,10174,546094792,8465,107042391.3,7270,9691662.55,132,142589.98,7269,9831309.27,7954,113716568.6,548,3188857,779,746,0.1977,-0.2542,44,120,598,739,226,5,87,1774,486.5714286,-0.015385714,-0.121228571,289,3549,143658,44
2147,20449,20449,55976,48605,0.84,17246,60412,54950,0.16,3204,-3155,-2370,20449,58163,50565,20449,2149,809,0.09,1817,67039,27757,0.08,1714,48189,13050,0.78,15947,15545,11830,24085,103489,47225,35074,20143,20006,1089789303,16772,215671769.3,14618,19614216.43,250,300021.66,14615,19908636.17,15655,229281113.4,1167,7038066,750,746,0.1628,-0.0722,90,154,514,1396,453,5,141,2664,460.1428571,-0.003957143,-0.053671429,455,5327,410960,90
2148,37312,37312,50621,45510,0.86,31918,54463,50706,0.13,4683,-2643,-2573,37312,52563,47405,37312,1921,780,0.1,3702,55308,28691,0.09,3482,37260,11854,0.78,29029,13027,10044,42610,69711,28883,58671,35816,35524,1756752536,29654,322291403.9,24891,30437213.15,399,493033.45,24893,30922315.8,27676,342292139.3,2495,15228509,672,663,0.1192,0.381,174,402,2587,3031,1032,20,489,7561,403.1428571,-0.0304,-0.074771429,1362,15122,636434,174
2150,23118,23118,54953,47164,0.87,20178,58768,52922,0.11,2436,-4077,-3463,23118,56612,48738,23118,1623,579,0.09,2014,65656,20570,0.08,1791,51996,9794,0.76,17636,15678,11889,25151,46468,13091,24811,21735,21416,1144899814,17418,230420476.1,12460,17107682.1,344,369348.26,12459,17472107.51,16458,243360189.4,985,6176617,583,630,-0.0009,0.3803,98,1327,5985,873,120,61,655,9021,453.4285714,-0.058585714,-0.090485714,1474,18042,178389,98
2151,12565,12565,61436,49543,0.81,10136,64928,56848,0.2,2480,-2859,-2010,12565,63820,51700,12565,2333,688,0.1,1233,77441,24800,0.09,1159,58141,11690,0.77,9680,18836,12742,14099,125086,45692,20223,12426,12287,719967447,10166,153723737.2,8747,12971598.42,177,195113.69,8745,13159458.39,9471,163001991.6,667,3891191,693,860,-0.1172,-0.0444,43,168,1518,810,188,5,252,2943,470.5714286,-0.042957143,-0.132114286,443,5884,122118,43
2152,6774,6774,62297,52312,0.8,5453,67661,60846,0.18,1187,-2522,-1828,6774,64718,54499,6774,2395,801,0.09,607,69470,26004,0.09,576,48435,12442,0.77,5243,18870,13991,7505,126421,59341,10224,6648,6605,398599747,5522,85843562.83,4805,7256766.07,99,107468.22,4804,7363917.01,5135,91219752.74,297,1813373,665,763,-0.1074,2.75,45,92,541,398,110,5,103,1246,470.4285714,-0.020857143,0.005542857,231,2495,70271,45
2153,36484,36484,67494,51932,0.79,28789,72937,62012,0.25,8946,-4059,-2838,36484,70196,54172,36484,2592,714,0.09,3115,92054,30427,0.08,2950,63140,13686,0.76,27767,22258,15140,39844,157660,70846,52452,35652,35335,2301632230,28874,531410725.3,25594,42572754.24,393,483705.21,25577,43027920.88,27045,563404426.4,1204,6629639,1150,1129,0.2105,0.514,162,215,830,1324,948,5,211,3531,530.8571429,-0.009614286,-0.167842857,512,7064,354193,162
2154,25274,25274,71973,50010,0.75,19076,75537,60000,0.25,6404,-4120,-2994,25274,74926,52428,25274,2872,649,0.08,1996,114366,32932,0.07,1877,84329,13844,0.74,18813,25521,15095,27134,191381,70979,37914,24929,24700,1739232828,20055,428254819.9,17436,32090233.82,255,340600.2,17426,32405484.26,18502,452902372.4,774,4276804,1496,1571,0.2168,0.2184,106,122,619,806,836,5,194,2578,543.1428571,0.004114286,-0.164214286,412,5160,257626,106
2155,37915,37915,70021,55868,0.85,32136,74203,63156,0.23,8816,-6774,-4804,37915,72923,58554,37915,2843,947,0.08,3093,101048,30163,0.08,2966,77038,13801,0.8,30340,21998,15483,40030,123159,62125,44028,34913,34621,2383242635,29285,556924526.4,26319,44340955.2,466,622106.78,26312,44944619.46,27836,592461665.2,1066,5477875,1030,1032,0.0198,0.9648,279,203,749,786,2565,5,265,4574,524.8571429,-0.009614286,0.146957143,840,9147,468487,279
2156,8891,8891,88844,50695,0.7,6267,73772,54148,0.23,2051,285,-227,8891,92456,53640,8891,3507,525,0.08,699,133956,41100,0.08,676,89405,17334,0.75,6668,35274,15986,9349,283918,89696,12347,8878,8810,728240506,7264,198219702.2,6371,13701709.43,100,144121.35,6365,13829904.32,6659,209925435.6,205,1077084,1875,1937,0.2563,0.25,20,32,37,68,163,5,20,319,568.5714286,0.042285714,0.026214286,65,644,140491,20
2157,2471,2471,69430,45225,0.73,1800,62644,48065,0.19,477,2863,1598,2471,72041,47743,2471,2454,450,0.11,271,97242,50986,0.11,263,69053,23488,0.75,1842,24205,12431,2637,175975,61030,3710,2421,2399,158258895,1937,38105665.82,1705,2922524.52,27,43918.65,1704,2964221.43,1790,40454029.62,65,336526,837,910,0,0,5,5,20,41,51,0,20,141,500,-0.012583333,0.037033333,45,278,46951,5
2158,5738,5738,104893,50847,0.72,4118,74267,54752,0.24,1381,1547,-447,5738,109020,53706,5738,3999,540,0.09,488,172058,33416,0.08,478,141605,14196,0.75,4330,43420,15300,6100,258854,69536,8289,5690,5646,487348500,4671,136862485.8,4097,9236129.87,73,123546.58,4094,9352992.48,4320,142526009.3,171,960011,1601,1493,0.2315,0.1333,20,20,44,103,147,0,41,360,576.3333333,-0.00175,-0.0933,60,715,104998,20
2159,3324,3324,74569,46631,0.72,2387,71063,51582,0.22,737,1949,265,3324,77668,49337,3324,2933,550,0.1,347,124782,37600,0.1,333,92750,19494,0.76,2514,26877,13549,3546,233813,75522,4550,3324,3297,243740191,2722,62848912.48,2336,4532021.52,37,66907.67,2335,4594533.94,2477,66134700.06,92,608734,1418,1563,-0.291,1.4,20,20,20,50,48,5,20,156,516,0.009528571,0.014285714,50,319,59155,20
2160,19528,19528,47129,38840,0.78,15185,51185,46131,0.15,2925,-877,-1199,19528,48977,40408,19528,1820,530,0.15,2913,60728,34682,0.14,2751,41128,15354,0.74,14409,12371,8583,21660,63510,18976,32845,18765,18571,856128486,15014,152254214.3,12032,14328051.47,223,282133.75,12028,14608152.8,13701,161357286.1,1762,10699738,780,750,0.1143,0.65,99,323,2450,1121,555,5,284,4737,445.2857143,-0.042471429,-0.045242857,836,9475,365483,99
2161,14644,14644,45539,38014,0.78,11361,49353,45091,0.13,1946,-1238,-1456,14644,47340,39308,14644,1774,492,0.15,2228,65103,36808,0.15,2128,43931,17298,0.73,10619,11934,8192,16489,57631,18223,28269,14035,13885,623589590,11280,108002992.8,8944,10291703.05,144,176959.71,8941,10465799.41,10218,114126654.7,1514,9532377,740,695,0.0647,0.3333,60,219,1217,832,458,5,239,2969,457,-0.027585714,-0.057942857,422,5939,378081,60
2162,8980,8980,46444,38757,0.78,6993,50875,46231,0.15,1346,-434,-894,8980,48193,40236,8980,1720,515,0.12,1057,69069,37809,0.11,992,49103,17686,0.72,6472,12409,8548,10121,75291,23915,16989,8549,8478,392231147,6868,69771241.54,5520,6611223.46,112,138438.06,5520,6749620.83,6203,73610629.96,857,5317440,807,793,0.0618,0.56,39,77,318,587,266,20,74,1337,488,-0.024157143,-0.123414286,212,2679,213305,39
2163,4123,4123,42408,36911,0.81,3332,45358,41926,0.11,439,-1856,-2178,4123,44115,38475,4123,1681,530,0.13,529,55630,32550,0.12,499,37586,14019,0.73,3019,10209,6921,4984,46098,13149,8753,3835,3796,157325971,3037,25272691.5,2382,2510737.16,36,39421.87,2381,2547183.76,2726,26575925.14,526,3457198,700,670,-0.0085,2.4,20,110,341,208,118,5,47,826,473,0.043914286,0.061471429,164,1655,92428,20
2164,9738,9738,51477,43665,0.81,7846,54114,49358,0.18,1705,779,-586,9738,53524,45532,9738,2027,715,0.1,953,81419,39080,0.09,906,59444,18644,0.76,7419,13823,9820,11110,89859,33074,18365,9549,9485,483631949,7914,92199840.63,6788,8547034.32,112,146270.46,6784,8678481.35,7294,98008525.82,858,5285532,771,763,0.0783,0.0968,34,70,281,787,304,5,81,1524,482.2857143,-0.006857143,-0.099357143,173,3052,201568,34
2165,17714,17714,44876,38484,0.81,14422,47746,44015,0.15,2648,-396,-839,17714,46614,40003,17714,1710,538,0.11,1938,76226,37270,0.1,1833,57025,17563,0.72,12761,11513,8317,20498,57506,19137,39513,17067,16957,760185240,13702,131610886.3,11117,12746578.5,199,359558.02,11114,13103043.73,12369,139376226,2286,14476575,691,662,0.1914,0.3725,70,398,1957,1798,692,20,246,5107,440.2857143,0.056385714,-0.0496,640,10218,400862,70
2166,25274,25274,44662,38441,0.83,20987,46727,42622,0.16,3937,-621,-883,25274,46248,39724,25274,1535,488,0.09,2150,100452,38122,0.08,2023,81381,17464,0.72,18117,11506,8054,30003,49028,16147,49723,24349,24150,1046903027,19284,176265322.4,15119,17011576.1,269,379769.62,15113,17373149.23,17279,186006725,3428,22397602,666,649,-0.0206,0.3833,83,343,2111,1538,574,5,295,4866,394.5714286,-0.005114286,0.0889,663,9732,314650,83
2167,5855,5855,54576,49025,0.87,5115,59184,54799,0.17,976,-4154,-2918,5855,56791,51219,5855,2197,950,0.08,473,56193,23450,0.08,456,41349,12149,0.79,4631,14550,11504,6568,79584,37552,7555,5475,5422,290882400,4590,56511307.24,4004,5183221.52,94,106141.44,4005,5287292.98,4333,59936625.74,347,1998224,700,654,0.0769,-0.0833,20,20,191,453,221,5,50,938,470.1428571,-0.017214286,-0.073614286,138,1878,83904,20
2168,19752,19752,47872,42750,0.86,16933,51306,47885,0.13,2532,-2703,-2556,19752,49914,44674,19752,2019,810,0.09,1707,78498,39411,0.08,1652,58888,18611,0.77,15150,11920,9027,23654,60268,23207,41911,19167,19019,897094208,15953,156841515.5,13422,15473226.18,226,289382.78,13421,15758303.34,14776,166232635.6,2048,12782468,640,652,0.0281,0.1964,67,64,249,1247,581,5,175,2322,460.1428571,-0.002471429,-0.050042857,317,4643,540808,67
2170,53244,53244,52399,45370,0.84,44479,55976,50976,0.15,7981,-1987,-2198,53244,54654,47334,53244,2233,838,0.1,5333,93396,36200,0.1,5121,72898,17543,0.77,41131,14016,10222,60928,78504,31852,95044,51303,50889,2623586739,42726,499898320,36263,46140048.87,673,935972.68,36254,47062461.64,39594,530572172.7,4061,24460657,630,647,-0.0233,0.3333,248,1019,5334,3237,1556,37,1369,12552,430,-0.026685714,-0.120271429,2022,25104,1157473,248
2171,20824,20824,58076,49812,0.85,17729,61000,54618,0.2,4168,-2933,-2890,20824,60667,52081,20824,2551,1078,0.09,1884,91154,37271,0.09,1818,68795,17817,0.81,16795,15910,11598,22434,87681,43569,24390,20391,20269,1149242475,17485,232121787,15543,21018041.06,355,462562.3,15539,21468725.97,16549,247616189.1,1080,6165388,820,799,0.0513,0.0784,55,32,79,556,926,5,104,1702,521.1428571,0.003485714,0.083542857,278,3404,609875,55
2173,8691,8691,61940,55268,0.89,7757,65387,60771,0.2,1739,-5102,-3472,8691,64656,57668,8691,2682,1177,0.07,625,79525,30000,0.07,603,59691,13461,0.82,7148,17075,13522,9632,115173,61720,13256,8556,8500,510525024,7324,106887724.5,6237,8773440.88,97,103971.09,6235,8876528.35,7004,113477656,348,1906435,798,805,0.0784,0.4444,20,5,36,642,273,0,31,987,519.3333333,-0.00235,-0.058916667,160,1974,116545,20
2174,3754,3754,62097,55158,0.89,3353,66196,60750,0.2,761,-5676,-3716,3754,64652,57598,3754,2548,1154,0.08,318,63715,31838,0.08,301,44227,14789,0.83,3117,17109,13386,3684,66476,38857,423,2387,2360,144474875,2043,30583272.44,1840,2662072.84,52,57595.04,1839,2719282.78,1971,32845287.06,100,578941,820,778,0.0513,2.5714,20,20,61,37,402,5,20,543,511.1428571,0.0035,-0.0756,134,1088,19817,20
2176,24351,24351,52668,44241,0.81,19776,55066,49776,0.21,5132,338,-388,24351,54803,46005,24351,2083,740,0.09,2228,104641,39642,0.09,2155,81833,17941,0.76,18550,14438,10140,27345,89565,34771,46064,24102,23965,1235685694,20049,237221794.2,17196,22020645.04,305,403997.69,17192,22419040.07,18459,251530754,1984,12414636,802,824,0.0435,-0.2549,38,66,360,1241,611,5,124,2403,498.1428571,0.007857143,-0.081585714,299,4810,507033,38
2177,7952,7952,49791,43882,0.85,6725,53269,48476,0.17,1390,-1320,-1379,7952,51740,45616,7952,1933,772,0.09,687,90291,36145,0.08,653,73506,17379,0.77,6157,12747,9446,9244,65785,26515,15188,7805,7740,377218452,6484,68224282.61,5490,6582478.51,118,152922.68,5488,6728317.27,5972,72243109.22,863,5029079,780,802,0.1223,0.2667,20,32,100,323,202,0,36,693,468.1666667,-0.035466667,0.026166667,118,1386,169231,20
2190,11872,11872,47413,37440,0.75,8961,51736,44546,0.16,1913,18,-827,11872,49404,39088,11872,1956,505,0.15,1789,78043,38508,0.14,1717,58272,20769,0.72,8530,12999,8559,13290,67259,21137,24710,11555,11430,538676193,9264,98725600.42,7330,9078751.41,144,199862.08,7329,9275032.53,8319,104497239.3,1088,6668499,910,893,0.0833,0.1026,43,85,240,607,326,46,127,1431,504.5714286,-0.041571429,-0.074485714,176,2862,360388,43
2191,3313,3313,55466,45044,0.79,2607,58847,51300,0.22,723,100,-726,3313,57729,47246,3313,2190,697,0.12,387,85888,38839,0.11,369,62514,17984,0.78,2585,15438,10523,3749,98826,40798,6041,3341,3314,183690786,2788,37592900.34,2386,3277954.67,41,77212.68,2386,3355160.17,2568,39814183.55,202,1105651,837,910,0,0,5,20,131,152,58,5,58,411,517.1428571,0.003914286,0.1119,76,835,36220,5
2192,7301,7301,48011,40953,0.8,5849,52080,46662,0.15,1098,845,106,7301,49862,42553,7301,1828,600,0.13,971,62272,34260,0.13,925,44344,15754,0.75,5475,12483,8884,8569,61386,22077,12575,7003,6932,326470641,5711,58738651.21,4551,5465758.53,75,140702.69,4548,5605451.96,5215,61995253.24,529,3126013,655,710,-0.0076,1.8,42,172,1111,318,110,20,152,1875,490.1428571,0.078614286,0.018614286,359,3758,99467,42
2193,10762,10762,59319,46978,0.82,8795,62340,52945,0.18,1928,862,84,10762,61486,48846,10762,2141,650,0.12,1261,81645,26110,0.11,1162,60840,11294,0.77,8270,17799,11812,12105,109263,39008,13988,9916,9837,581840876,8141,125753418.6,6932,10462545.73,168,197520.81,6928,10655065.93,7599,133587560.1,456,2671474,707,927,-0.1358,0.3529,46,417,1099,294,87,20,212,2120,498.4285714,-0.045085714,-0.026085714,412,4249,68173,46
2194,14538,14538,42706,35918,0.8,11667,46503,41189,0.14,2084,-868,-1357,14538,44122,36903,14538,1396,360,0.13,1874,55406,29518,0.12,1716,38443,11640,0.71,10259,10994,7432,16586,46790,13523,21218,13883,13748,591701330,10803,101639123.9,7930,9193446.19,131,181403.57,7928,9373720.16,9836,107438146.9,1046,6878252,629,702,0.1048,1.1579,82,446,2728,437,158,20,476,4270,447.7142857,-0.067442857,0.065114286,787,8535,118132,82
2195,13091,13091,39832,32204,0.77,10106,44112,39822,0.08,1082,-115,-921,13091,41356,33426,13091,1503,450,0.21,2782,50754,30497,0.2,2672,36919,16222,0.68,8919,9994,6679,15456,39038,10956,25208,12659,12471,520775795,9486,91789977.58,6326,7576731.46,97,709207.54,6323,8283997.56,8512,97363481.89,1345,8384465,399,427,0.057,0.1731,61,242,3327,433,97,70,426,4595,394.8571429,-0.0663,-0.028042857,654,9190,218723,61
2196,16182,16182,46604,38272,0.78,12643,50928,45259,0.15,2470,-274,-786,16182,48515,39890,16182,1885,575,0.15,2364,69606,35055,0.14,2260,52410,17714,0.72,11671,12532,8580,18471,66574,21597,29598,15602,15441,710906513,12462,126887951.7,9876,11871938.29,179,243955.95,9872,12113704.73,11314,134136033.1,1420,8461193,730,744,0.0504,-0.2264,41,161,1188,623,353,5,256,2589,464.5714286,-0.010871429,-0.036528571,440,5175,382515,41
2197,4356,4356,54360,40123,0.79,3433,53409,47094,0.16,694,-295,-798,4356,56534,42085,4356,2089,642,0.13,575,87299,38202,0.12,544,68440,17772,0.73,3187,16842,9214,4928,81523,27568,8175,4215,4180,201702960,3430,37406986.7,2808,3470682.61,57,66273.82,2807,3536294.8,3112,39455380.55,373,2256756,800,763,0.0667,-0.1579,20,20,79,208,195,0,44,540,553.1666667,0.05545,0.114733333,103,1086,123485,20
2198,4686,4686,51984,41138,0.77,3613,56649,48998,0.19,881,-559,-907,4686,54238,42785,4686,2229,636,0.1,475,92980,41202,0.1,453,68236,19270,0.73,3401,15072,9963,5210,115639,46196,8668,4467,4437,232314933,3567,46785846.36,3000,4089910.7,58,125789.93,2999,4215646.05,3273,49588916.46,258,1500446,900,907,0.1208,0,20,20,51,203,142,0,47,458,531.3333333,0.024233333,-0.1733,60,921,104067,20
2199,8621,8621,46978,38670,0.79,6835,51217,45652,0.16,1394,-563,-1018,8621,49064,40127,8621,2064,578,0.11,982,74017,34500,0.11,943,54658,16059,0.71,6153,12903,8968,9750,69411,23612,16003,8264,8200,377803744,6584,67234515.59,5306,6362906.92,91,109481.7,5303,6470359.85,5974,71128225.66,771,4826822,771,818,0.1126,0.1429,32,145,403,466,236,5,121,1377,502.2857143,-0.0024,-0.0929,157,2753,185712,32
2200,22240,22240,46139,37936,0.8,17815,48917,43841,0.14,3159,26,-916,22240,47980,39494,22240,1827,520,0.13,2939,71230,34197,0.13,2800,53467,17826,0.72,15956,12385,8466,25144,58693,17475,40612,21143,20917,945266265,16777,166644559.8,13075,15528756.34,235,327897.62,13074,15855961.82,15200,176342712.9,2108,13157935,570,673,-0.1231,-0.0541,105,287,2664,1071,503,20,530,5066,455.2857143,-0.040371429,-0.1466,807,10141,470023,105
2203,9011,9011,71390,57485,0.86,7735,72874,62400,0.16,1420,615,-818,9011,73880,59625,9011,2452,916,0.12,1047,60132,22166,0.11,963,36476,9477,0.83,7468,21540,14656,10808,124229,52737,12979,8590,8545,580467631,7446,132750014.1,6635,10795167.9,187,244864.04,6635,11036852.29,7045,141280269.6,508,2925014,940,1140,-0.1296,0.3,39,702,1442,305,88,31,189,2757,507.2857143,-0.024871429,-0.133042857,401,5514,50693,39
2204,16278,16278,66997,54592,0.86,14028,67742,58628,0.16,2631,1194,-132,16278,69314,56616,16278,2287,792,0.12,1999,58926,23551,0.12,1879,36871,9898,0.83,13448,19629,13496,20494,101422,38445,24611,16032,15958,1041229267,13904,233733310,12196,19089832.22,399,491169.69,12195,19578802.37,13167,249182861.8,1107,6317131,1013,1109,0.1651,0.5484,96,912,2112,643,207,69,272,4215,579.8571429,-0.044771429,0.042528571,716,8430,111086,96
2205,14454,14454,56924,43947,0.85,12226,57748,50374,0.15,2148,-2936,-2352,14454,58867,45676,14454,1915,581,0.12,1730,49364,25698,0.1,1513,35148,10784,0.75,10873,17520,10610,15869,64415,18881,12847,13322,13181,706371905,10784,143556211.3,8483,11875591.65,228,279561.99,8482,12151462.7,10050,152754199.8,554,3153684,740,1711,0.0756,1.0182,111,1034,2309,535,109,20,120,4120,543.7142857,-0.050171429,0.185942857,861,8247,145646,111
2206,11444,11444,66565,50718,0.77,8831,67225,56359,0.26,2975,3205,1188,11444,69226,53072,11444,2559,762,0.11,1259,150792,31234,0.1,1189,129015,15472,0.79,8996,20807,13152,12736,137171,60686,18318,11327,11263,729412945,9591,165948925,8369,13475843.91,209,333031.68,8366,13807135.95,8898,176602815.8,416,2339256,1362,1346,0.1865,0.3077,34,71,502,488,177,5,99,1341,534,-0.024157143,-0.077657143,147,2683,132509,34
2207,16237,16237,58342,46096,0.79,12877,61270,53153,0.21,3470,534,-100,16237,60624,48209,16237,2246,748,0.11,1750,94166,30720,0.1,1638,69809,15626,0.76,12379,17450,11304,18308,112544,45611,27537,15964,15845,894416670,13113,187349074.8,11049,15922235.93,188,292450.57,11041,16200805.46,12076,198134315.9,864,5065608,940,964,0.2409,0.9762,83,162,926,689,207,5,101,2088,504.8571429,-0.055442857,0.049014286,305,4178,252617,83
